Producto;ProdNombre;Division;Estilo ID;Categoria;Grupo;Marca;UltFecha_EC;SaldoUND_EC;UltFecha_DS;SaldoUND_DS
D045519;USA CARDIGAN P/DAMA;DS ROPA;DS32672;DS ROPA DAMA;DS CARDIGAN  P/DAMA;DS SEGUNDA ;;0;;1
D020072;SKINNY P/DAMA GINO FERRETTI;DS ROPA;;DS ROPA DAMA;DS SKINNY JEANS P/DAMA;;;0;;1
C128541;JOYERO CORAZON;ACCESORIOS;C4-9320-A635;ACCESORIOS DE JOYERIA;JOYERO FINO;YIWU LYFHON;;0;45822;1
C111477;OVEROLL P/DAMA LARGO TELA VESTIR ;ROPA;JP-966;DAMA;OVEROLL P/DAMA TELA LARGO FORMAL;SOFIA'S;;0;45981;1
438339;SET GANCHOS P/NIÑA 3PZS;ACCESORIOS;4031-16;ACCESORIOS DE CABELLO;GANCHO P/NIÑA PINZA;YIWU LYFHON;;0;46121;1
D005734;USA CUBRE COLCHON;DS HOGAR;;DS DORMITORIO;DS CUBRE COLCHON;DS SEGUNDA ;;0;;1
D024087;USA BLUSA P/NIÑA JUV S/M;DS ROPA;DS11760;DS ROPA JUVENIL NIÑA;DS BLUSA P/NIÑA JUV S/M;DS SEGUNDA ;;0;;1
C124057;CONJUNTO P/DAMA CASUAL BLUSA S/M+SHORTS ALGODN;ROPA;ZW-9611;DAMA;CONJUNTO P/DAMA CASUAL SHORTS TELA;MORENA ROSA;;0;46132;1
D042240;USA VESTIDO P/DAMA FIESTA;DS ROPA;;DS ROPA DAMA;DS VESTIDO FIESTA P/DAMA;ADANS SHOPPING;;0;;5
D058089;USA COBIJA P/NIÑO;DS HOGAR;DS45119;DS DORMITORIO;DS COBIJA NIÑO;DS SEGUNDA ;;0;;1
D007892;USA LEGGING MAMA SIZE ;DS ROPA;;DS ROPA  MAMA SIZE;DS LEGGING MAMA SIZE;DS SEGUNDA ;;0;;1
687960;USA CAMISETA P/NIÑO M/L;DS ROPA;A687960;DS ROPA P/NIÑO MESES;DS CAMISETA M/L P/NIÑO MESES;REMAGINE LLC;;0;;3
C123218;BLUSA P/NIÑA JUV M/C D/VESTIR;ROPA;B-3035A;JUVENIL NIÑA;BLUSA P/NIÑA JUV M/C D/VESTIR;SOFIA'S;;0;46127;2
D107006;USA CAMISA P/CABALLERO M/C;DS ROPA;DS93234;DS ROPA P/CABALLERO;DS CAMISA M/C P/CABALLERO;DS SEGUNDA ;;0;;-1
709382;USA TOALLA;DS HOGAR;A709382;DS BAÑO;DS TOALLA D/BAÑO;REMAGINE LLC;;0;;1
C115846;JEANS P/HOMBRE CARGO SLIM C/CORTE;ROPA;10302-53797;CABALLERO;JEANS P/HOMBRE CARGO;MOST WANTED;;0;46126;2
D108309;USA CAMISETA P/NIÑO MESES C/R;DS ROPA;DS94537;DS ROPA P/NIÑO MESES;DS CAMISETA P/BEBE NIÑO C/R C/V M/C;DS SEGUNDA ;;0;;-14
C126123;SHORTS P/DAMA TELA;ROPA;SH-1732;DAMA;SHORTS P/DAMA TELA CASUAL;SOFIA'S;;0;46141;5
D007928;USA FALDA JEANS P/DAMA;DS ROPA;;DS ROPA DAMA;DS FALDA P/DAMA JEANS;DS SEGUNDA ;;0;;1
C190739;CAMISETA P/NIÑO INF OVERSIZE M/C;ROPA;105-BF010;INFANTIL NIÑO;CAMISETA P/NIÑO INF OVERSIZE M/C;FAZIO;;0;46022;3
C170872;TENIS P/NIÑA PRE-INF;CALZADO;43280-315-298;CALZADO PRE-INF NIÑA;TENIS P/NIÑA PRE-INF;YIWU LYFHON;;0;45981;5
D048505;USA SHORTS P/DAMA TELA;DS ROPA;DS35650;DS ROPA DAMA;DS SHORT P/DAMA TELA;DS SEGUNDA ;;0;;1
D109000;USA SET BALANCE;DS HOGAR;DS95228;DS SALA;DS SET BALANCE;DS SEGUNDA ;;0;;-3
C170911;TENIS P/NIÑO PRE-JUV  ;CALZADO;43280-316-1;CALZADO PRE-JUV P/NIÑO;TENIS P/NIÑO PRE-JUV;YIWU LYFHON;;0;46093;8
D092763;USA ALFOMBRA P/SALA ;DS HOGAR;;DS SALA;DS ALFOMBRA P/SALA;DS SEGUNDA ;;0;;1
D098714;USA BLUSA P/DAMA M/C;DS ROPA;DS85096;DS ROPA DAMA;DS BLUSA P/DAMA M/C;DS SEGUNDA ;;0;;1
C118196;TENIS P/NIÑA INF;CALZADO;41527-713-187;CALZADO INFANTIL P/NIÑA;TENIS P/NIÑA INF;YIWU LYFHON;;0;46083;2
D083856;USA CORTINA P/SALA;DS HOGAR;DS70465;DS SALA;DS CORTINA P/SALA;DS SEGUNDA ;;0;;5
688218;USA FALDA P/DAMA TELA;DS ROPA;A688218;DS ROPA DAMA;DS FALDA P/DAMA TELA;REMAGINE LLC;;0;;1
D100241;USA CHUMPA P/NIÑO JUV;DS ROPA;DS86623;DS INVIERNO;DS CHUMPA P/NIÑO JUV;DS SEGUNDA ;;0;;1
D065134;USA SHORTS P/DAMA JEANS;DS ROPA;DS52152;DS ROPA DAMA;DS SHORTS JEANS P/DAMA;DS SEGUNDA ;;0;;1
C116651;ZAPATILLAS P/NIÑA JUV BAILARINAS;CALZADO;41527-713-75;CALZADO JUVENIL P/NIÑA;ZAPATILLAS P/NIÑA JUV;YIWU LYFHON;;0;46070;2
C084284;CAMISA P/NIÑO JUV M/C LISA;ROPA;39173S;JUVENIL NIÑO;CAMISA P/NIÑO JUV M/C LISA;MINAYA;;0;46009;1
D034280;USA BLUSA P/DAMA S/M;DS ROPA;DS21687;DS ROPA DAMA;DS BLUSA P/DAMA S/M;DS SEGUNDA ;;0;;1
D040522;USA FALDA P/NIÑA INF TELA CORTA;DS ROPA;DS27842;DS ROPA INFANTIL NIÑA;DS FALDA P/NIÑA INF TELA CORTA;DS SEGUNDA ;;0;;2
D046166;USA SHORTS P/NIÑA INF TELA;DS ROPA;DS33319;DS ROPA INFANTIL NIÑA;DS SHORT P/NIÑA INF TELA;DS SEGUNDA ;;0;;3
C082664;OVEROLL P/DAMA M/C LARGO TELA;ROPA;725/YLN;DAMA;OVEROLL P/DAMA TELA LARGO FORMAL;YIWU LYFHON;;0;45979;1
D057289;USA OVEROLL P/NIÑA INF;DS ROPA;DS44319;DS ROPA INFANTIL NIÑA;DS OVEROLL P/NIÑA INF;DS SEGUNDA ;;0;;1
C169402;ZAPATILLAS P/NIÑA INF DEPORTIVAS;CALZADO;43280-315-57;CALZADO INFANTIL P/NIÑA;ZAPATILLAS P/NIÑA INF DEPORTIVA;YIWU LYFHON;;0;46086;1
C119863;ZAPATILLAS P/NIÑA PRE-INF DEP;CALZADO;41527-730-74;CALZADO PRE-INF NIÑA;ZAPATILLAS P/NIÑA PRE-INF DEPORTIVA;YIWU LYFHON;;0;46063;1
D054883;USA MAMELUCO P/NIÑO MESES;DS ROPA;DS41968;DS ROPA P/NIÑO MESES;DS MAMELUCO P/NIÑO MESES;DS SEGUNDA ;;0;;3
D090363;USA BLUSA P/DAMA S/M;DS ROPA;DS76848;DS ROPA DAMA;DS BLUSA P/DAMA S/M;DS SEGUNDA ;;0;;1
C067753;OVEROLL P/NIÑA INF SHORTS;ROPA;MC-OVR-INF-01;INFANTIL NIÑA;OVEROLL P/NIÑA INF SHORTS TELA;MIA COLLECTION;;0;46093;2
C087279;LENTES P/NIÑA;ACCESORIOS;23083-417-9;ACCESORIOS DE BELLEZA;LENTES P/NIÑA;YIWU LYFHON;;0;46086;1
C108079;PIJAMA P/BEBE NIÑO PANTALON NAVIDEÑA;ROPA;330-6311;ROPA DORMIR;PIJAMA P/BEBE NIÑO NAVIDEÑA;MICKEY MOUSE;;0;45799;2
D075378;USA CORTINA P/SALA;DS HOGAR;DS62136;DS SALA;DS CORTINA P/SALA;DS SEGUNDA ;;0;;4
D006282;USA SABANA(PACA);DS ROPA;LBS.1197;DS ROPA AL POR MAYOR;DS PACAS;JULIES;;0;46109;1
